State,Name of Facility,HPMS Toll ID,Financing or Operating Authority,From,To,Miles,Kilometers,Rural/Urban,Interstate Route,"One Way (N,S,E,W)",Both Ways,Collection System -No,Collection -Yes/Kind,Non-Toll Miles,Remarks,Federal Authority Source,Fee Type,Max Pass. Fee,Min Pass. Fee,Passenger Cost per Vehicle-Mile,Max Truck Fee,Min Truck Fee,Truck Cost per Vehicle-Mile
New Jersey, New Jersey Turnpike (Main Line),152, NJ Turnpike Authority, George Washington Bridge, Pennsylvania Turnpike Exit,72,115.87,Urban,95,,X,,E-ZPass,5,Toll data based on entire mainline,,Fixed variable: rate based on time of day,$11.80 ,$8.80 ,$0.14 ,$50.55 ,$33.75 ,$0.70 
New Jersey, Newark Bay Extension,150, NJ Turnpike Authority, Newark Airport, Holland Tunnel,8.2,13.2,Urban,78,,X,,E-ZPass,,Toll data based on Extension only,,Fixed variable: rate based on time of day,$2.45 ,$1.90 ,$0.36 ,$11.45 ,$8.60 ,$1.91 
New Jersey, Pennsylvania Turnpike Extension,151, NJ Turnpike Authority, Delaware River Bridge, New Jersey Turnpike,3.3,5.31,Rural,95,,X,,E-ZPass,,,,Fixed variable: rate based on time of day,,,,,,
New Jersey, Pennsylvania Turnpike Extension,151, NJ Turnpike Authority, Delaware River Bridge, New Jersey Turnpike,2.3,3.7,Urban,95,,X,,E-ZPass,,,,Fixed variable: rate based on time of day,,,,,,
New York,Gov. Thomas E. Dewey Thruway (Main Line),183,NY State Thruway Authority,Pennsylvania Line,Albany,236.9,381.25,Rural,90,,X,,E-ZPass,,Woodbury to Williamsville and Erie Section.,,Fixed: rate based on axle/weight/price based on distance traveled,$33.70 ,$0.15 ,$0.05 ,$137.90 ,$0.40 ,$0.24 
New York,Gov. Thomas E. Dewey Thruway (Main Line),183,NY State Thruway Authority,Pennsylvania Line,Albany,111.2,178.96,Urban,90,,X,,E-ZPass,9.1,Woodbury to Williamsville and Erie Section.,,Fixed: rate based on axle/weight/price based on distance traveled,$33.70 ,$0.15 ,$0.05 ,$137.90 ,$0.40 ,$0.24 
New York,Gov. Thomas E. Dewey Thruway (Main Line),183,NY State Thruway Authority,New York City,Albany,89.5,144.04,Rural,87,,X,,E-ZPass,,Woodbury to Williamsville and Erie Section.,,Fixed: rate based on axle/weight/price based on distance traveled,$33.70 ,$0.15 ,$0.05 ,$137.90 ,$0.40 ,$0.24 
New York,Gov. Thomas E. Dewey Thruway (Main Line),183,NY State Thruway Authority,New York City,Albany,56.6,91.09,Urban,87,,X,,E-ZPass,17.8,Woodbury to Williamsville and Erie Section.,,Fixed: rate based on axle/weight/price based on distance traveled,$33.70 ,$0.15 ,$0.05 ,$137.90 ,$0.40 ,$0.24 
New York,Berkshire Section,184,NY State Thruway Authority,Exit B1 (US 9),Massachusetts Line,17.9,28.81,Rural,90,,X,,E-ZPass,,Based on travel from Buffalo or NYC.,,Fixed: rate based on axle/weight/price based on distance traveled,$33.70 ,$0.15 ,$0.05 ,$137.90 ,$0.40 ,$0.24 
New York,Niagara Section,185,NY State Thruway Authority,Buffalo,Niagara Falls,21.6,34.76,Urban,190,,X,,E-ZPass,16.7,No tolls at barriers since 10/30/06,,,,,,,,
New York,New England Section,186,NY State Thruway Authority,"Pelham Parkway, New York, NY",Connecticut Line,15,24.14,Urban,95,N,,,E-ZPass,10.2,,,Fixed: rate based on axle/weight/price based on distance traveled,$3.00 ,$1.66 ,,$9.75 ,$3.33 ,
Ohio,Ohio Turnpike,196,OH Turnpike Commission,Pennsylvania Line,Youngstown,22.5,36.21,Rural,76,,X,,E-ZPass,,,Section 129 Toll Agreement,Fixed: rate based on axle/weight/price based on distance traveled,$16.50 ,$0.50 ,$0.06 ,$83.00 ,$0.50 ,$0.15 
Ohio,Ohio Turnpike,196,OH Turnpike Commission,Youngstown,Cleveland,75.9,122.15,Rural,80,,X,,E-ZPass,,,Section 129 Toll Agreement,Fixed: rate based on axle/weight/price based on distance traveled,$16.50 ,$0.50 ,$0.06 ,$83.00 ,$0.50 ,$0.15 
Ohio,Ohio Turnpike,196,OH Turnpike Commission,Cleveland,Indiana Line,142.8,229.81,Rural,"80, 90",,X,,E-ZPass,,,Section 129 Toll Agreement,Fixed: rate based on axle/weight/price based on distance traveled,$16.50 ,$0.50 ,$0.06 ,$83.00 ,$0.50 ,$0.15 
Oklahoma,Turner Turnpike,197,OK Turnpike Authority,Oklahoma City,Tulsa,80.8,139.03,Rural,44,,X,,Pike Pass,,The maximum and minim;um passeger and truck fees are for the entire turnpike and are not broken down by rural and urban areas,,Fixed: rate based on axle/weight/price based on distance traveled,$4.00 ,$0.25 ,$0.05 ,$20.00 ,$1.50 ,$0.23 
Oklahoma,Turner Turnpike,197,OK Turnpike Authority,Oklahoma City,Tulsa,5.2,8.37,Urban,44,,X,,Pike Pass,,The maximum and minim;um passeger and truck fees are for the entire turnpike and are not broken down by rural and urban areas,,Fixed: rate based on axle/weight/price based on distance traveled,$4.00 ,$0.25 ,$0.05 ,$20.00 ,$1.50 ,$0.23 
Oklahoma,Will Rogers Turnpike,198,OK Turnpike Authority,Tulsa,Missouri State Line,84.9,136.63,Rural,44,,X,,Pike Pass,,The maximum and minim;um passeger and truck fees are for the entire turnpike and are not broken down by rural and urban areas,,Fixed: rate based on axle/weight/price based on distance traveled,$4.00 ,$0.25 ,$0.05 ,$20.00 ,$1.75 ,$0.23 
Oklahoma,Will Rogers Turnpike,198,OK Turnpike Authority,Tulsa,Missouri State Line,3.6,5.79,Urban,44,,X,,Pike Pass,,The maximum and minim;um passeger and truck fees are for the entire turnpike and are not broken down by rural and urban areas,,Fixed: rate based on axle/weight/price based on distance traveled,$4.00 ,$0.25 ,$0.05 ,$20.00 ,$1.75 ,$0.23 
Oklahoma,H.E. Bailey Turnpike,199,OK Turnpike Authority,US 62 South of Oklahoma City,US 277 North of Lawton,62.4,100.42,Rural,44,,X,,Pike Pass,,The maximum and minim;um passeger and truck fees are for the entire turnpike and are not broken down by rural and urban areas,,Fixed: rate based on axle/weight/price based on distance traveled,$4.75 ,$0.25 ,$0.05 ,$18.00 ,$0.45 ,$0.19 
Oklahoma,H.E. Bailey Turnpike,199,OK Turnpike Authority,US 62 South of Oklahoma City,US 277 North of Lawton,7.2,11.59,Urban,44,,X,,Pike Pass,,The maximum and minim;um passeger and truck fees are for the entire turnpike and are not broken down by rural and urban areas,,Fixed: rate based on axle/weight/price based on distance traveled,$4.75 ,$0.25 ,$0.05 ,$18.00 ,$0.45 ,$0.19 
Oklahoma,H.E. Bailey Turnpike,199,OK Turnpike Authority,US 277 South of Lawton,"US 70, 5.2 miles N. of TX State Line",25,40.23,Rural,44,,X,,Pike Pass,,The maximum and minim;um passeger and truck fees are for the entire turnpike and are not broken down by rural and urban areas,,Fixed: rate based on axle/weight/price based on distance traveled,$4.75 ,$0.25 ,$0.05 ,$18.00 ,$0.45 ,$0.19 
Pennsylvania, Pennsylvania Turnpike,208, PA Turnpike Commission, Irwin (MP 67.62), Carlisle (MP 226.44),158.82,255.6,Rural,76,,X,,E-ZPass,,E-ZPass ETC launched in phases starting Dec. 2000.,,,,,,,,
Pennsylvania,Pennsylvania Turnpike Eastern Extension,209, PA Turnpike Commission, Carlisle (MP 226.4), Valley Forge (MP 326),99.56,160.23,Rural,76,,X,,E-ZPass,,,,,,,,,,
Pennsylvania,Pennsylvania Turnpike Eastern Extension,209, PA Turnpike Commission, Carlisle, Valley Forge,5.2,8.37,Urban,76,,X,,E-ZPass,,,,,,,,,,
Pennsylvania,Pennsylvania Turnpike Northeastern Extension,210, PA Turnpike Commission, I-76 (MP A20.4), I-81 (MP A130.0),109.6,176.38,Rural,476,,X,,E-ZPass,,,,,,,,,,
Pennsylvania,Pennsylvania Turnpike Northeastern Extension,210, PA Turnpike Commission, I-76, I-81,22.7,36.53,Urban,476,,X,,E-ZPass,,,,,,,,,,
Pennsylvania,Pennsylvania Turnpike Western Extension,211, PA Turnpike Commission, Irwin (MP 67.62), Ohio Line (MP 0),67.62,108.82,Rural,76,,X,,E-ZPass,,,,,,,,,,
Pennsylvania,Pennsylvania Turnpike Western Extension,211, PA Turnpike Commission, Irwin, Ohio Line,13,20.92,Urban,76,,X,,E-ZPass,,,,,,,,,,
Pennsylvania,Pennsylvania Turnpike Delaware River Extension,212, PA Turnpike Commission, Valley Forge (MP 326), Delaware River Bridge (MP 359),33,53.11,Urban,276,,X,X,,,2.5 Mi section (Brdg to I-95) to be added.,,,,,,,,
Puerto Rico,Luis A. Ferre Expressway (PR-52),290,Puerto Rico Highway and Transportation Authority,"PR-2, Ponce Southwest Urban Limit","PR-1, Ponce Southwest Urban Limit",4.97,8,Urban,,,X,,Radio Frecuency ID (Auto Expresso),,"Ponce Toll Plaza.   Auto Expreso Lanes: 14,15,4,5",,,$0.75 ,$0.75 ,$0.15 ,$2.75 ,$0.75 ,$0.39 
Puerto Rico,Luis A. Ferre Expressway (PR-52),290,Puerto Rico Highway and Transportation Authority,"PR-1, Ponce Southeast Urban Limit","PR-149, Juana Díaz South Urban Limit",6.06,9.75,Urban,,,X,X,,,Juana Diaz Sur Toll,,,$0.50 ,$0.50 ,$0.08 ,$2.25 ,$0.50 ,$0.24 
Puerto Rico,Luis A. Ferre Expressway (PR-52),290,Puerto Rico Highway and Transportation Authority,PR-153,PR-149,9.08,14.61,Urban,,,X,X,,,Juana Diaz Norte Toll,,,$0.50 ,$0.50 ,$0.06 ,$2.25 ,$0.50 ,$0.16 
Puerto Rico,Luis A. Ferre Expressway (PR-52),290,Puerto Rico Highway and Transportation Authority,PR-1,PR-153,6.75,10.86,Urban,,,X,X,,,Salinas Sur Toll- Ramp,,,$0.35 ,$0.35 ,$0.05 ,$1.95 ,$0.35 ,$0.18 
Puerto Rico,Luis A. Ferre Expressway (PR-52),290,Puerto Rico Highway and Transportation Authority,PR-153,PR-184,27.92,44.93,Rural,,N,,,Radio Frequency ID (Auto Expreso) 2 lanes,,"Salinas Toll Plaza.  Auto Expreso Lanes: 17, 18",,,$1.75 ,$1.75 ,$0.06 ,$7.25 ,$1.75 ,$0.14 
Puerto Rico,Luis A. Ferre Expressway (PR-52),290,Puerto Rico Highway and Transportation Authority,PR-184,"PR-1, Caguas South Urban Limit",5.68,9.14,Urban,,S,,,Radio Frequency ID (Auto Expreso) 1 lane,,Plaza Caguas Sur.  Auto Expreso Lane: 8,,,$1.00 ,$1.00 ,$0.18 ,$4.50 ,$1.00 ,$0.52 
Puerto Rico,Luis A. Ferre Expressway (PR-52),290,Puerto Rico Highway and Transportation Authority,"PR-1, Caguas South Urban Limit","PR-1, San Juan Urban Area",14.3,23.01,Urban,,N,,,Radio Frequency ID ( Auto Expreso) 4  lanes,,Plaza Caguas Norte: Auto expreso Lanes: 20 - 23,,,$1.50 ,$1.50 ,$0.10 ,$5.50 ,$1.50 ,$0.27 
Puerto Rico,Luis A. Ferre Expressway (PR-52),290,Puerto Rico Highway and Transportation Authority,MonteHiedra Avenue,PR-1 & PR-18 (San Juan),3.4,5.47,Urban,,N,,X,,,Montehiedra Toll- Ramp,,,$0.35 ,$0.35 ,$0.10 ,$1.95 ,$0.35 ,$0.35 
Puerto Rico,De Diego Expessway (PR-22),291,Metropistas,"PR-10, Arecibo Southeast Urban Limit","PR-2, Hatillo",5.72,9.21,Urban,,E,,,Radio Frequency ID (Auto Expreso) 2 lanes,,"Hatillo Toll Plaza.  Auto Expreso Lanes: 6, 7",,,$1.00 ,$1.00 ,$0.17 ,$4.50 ,$1.00 ,$0.51 
Puerto Rico,De Diego Expessway (PR-22),291,Metropistas,"PR-140, Florida-Barceloneta and Arecibo Urbanized Area","PR-10, Arecibo Southeast Urban Limit",12.37,19.91,Urban,,,X,,Radio Frequency ID (Auto Expreso) 2 lanes,,"Arecibo Toll Plaza, Auto Expreso lanes: 5,15",,,$0.75 ,$0.75 ,$0.06 ,$2.75 ,$0.75 ,$0.16 
Puerto Rico,De Diego Expessway (PR-22),291,Metropistas,"PR-137, Vega Baja West Urban Limit","PR-140, Florida-Barceloneta and Arecibo Urbanized Area",8.37,13.47,Urban,,W,,,Radio Frequency ID (Auto Expreso) 2 lanes,,"Manati Toll Plaza.  Auto Expreso Lanes: 5,6",,,$1.50 ,$1.50 ,$0.18 ,$5.50 ,$1.50 ,$0.46 
Puerto Rico,De Diego Expessway (PR-22),291,Metropistas,"PR-659, Dorado East Municipal Limit","PR-137, Vega Baja West Urban Limit",11.06,17.8,Urban,,E,,,Radio Frequency ID (Auto Expreso) 2 lanes,,"Vega Alta Toll Plaza. Auto Expreso Lanes: 18,19",,,$1.00 ,$1.00 ,$0.09 ,$4.50 ,$1.00 ,$0.25 
Puerto Rico,De Diego Expessway (PR-22),291,Metropistas,PR-2,PR-866 San Juan West Urbanized Boundary,6.15,9.9,Urban,,E,,,Radio Frequency ID (Auto Expreso) 5 lanes,,Buchanan Toll Plaza-Auto Expreso Lanes: 25-29,,,$1.00 ,$1.00 ,$0.16 ,$4.50 ,$1.00 ,$0.48 
Puerto Rico,De Diego Expessway (PR-22),291,Metropistas,"PR-866, San Juan West Urbanized Boundary","PR-659, Dorado East Municipal Limit",5.28,8.5,Urban,,W,,,Radio Frequency ID (Auto Expreso) 2 lanes,,"Toa Baja Toll Plaza. Auto Expreso Lanes:10, 11",,,$1.00 ,$1.00 ,$0.19 ,$4.50 ,$1.00 ,$0.55 
Puerto Rico,PR-53 Expressway: José Celso Barbosa,292,Puerto Rico Highway and Transportation Authority,"PR-973, South of Fajardo Urbanized Boundary","PR-3, Humacao East City limit",10.99,17.69,Urban,,,X,,Radio Frecuency ID (Auto Expresso),,Humacao North Toll Plaza,,,$1.00 ,$1.00 ,$0.09 ,$4.50 ,$1.00 ,$0.27 
Puerto Rico,PR-53 Expressway: José Dávila Mosanto,293,Puerto Rico Highway and Transportation Authority,PR-713,PR-54,3.83,6.16,Rural,,,X,X,,,Guayama Plaza,,,$0.50 ,$0.50 ,$0.13 ,$2.25 ,$0.50 ,$0.38 
Puerto Rico,PR-53 Expressway: José Dávila Mosanto,293,Puerto Rico Highway and Transportation Authority,PR-52,PR-713,4.72,7.6,Rural,,,X,,Radio Frecuency ID (Auto Expresso),,Húcar Plaza,,,$1.00 ,$1.00 ,$0.21 ,$4.50 ,$1.00 ,$0.62 
Puerto Rico,PR-53 Expressway: José Celso Barbosa,292,Puerto Rico Highway and Transportation Authority,"PR-3, Fajardo South Urban Limit",PR-973,8.43,13.57,Urban,,,X,,Radio Frecuency ID (Auto Expresso),,Plaza Ceiba,,,$1.00 ,$1.00 ,$0.12 ,$4.50 ,$1.00 ,$0.35 
